연번,구분,도서관명,소재지,매핑_행정구역,매핑상태,비고,면적(제곱미터),region_gu,region_detail,join_key
1,공립,가족만세센터 작은도서관,경기도 화성시 만세구 향남읍 평2길 16 가족만세센터 2층,,구기준매핑완료,,212,만세구,향남읍,만세구
2,공립,기아행복마루 작은도서관,경기도 화성시 만세구 우정읍 기아자동차로 559,,구기준매핑완료,,162,만세구,우정읍,만세구
3,공립,늘봄이음터 작은도서관,"경기도 화성시 동탄구 동탄대로24길 49, 늘봄이음터 3층",,구기준매핑완료,,138,동탄구,,동탄구
4,공립,마도 작은도서관,"경기도 화성시 만세구 마도면 마도북로 387, 마도 복합문화센터 2층",,구기준매핑완료,,131,만세구,마도면,만세구
5,공립,비봉 작은도서관,"경기도 화성시 효행구 비봉면 비봉로71번길 1, 효행구 비봉면사무소 1층",,구기준매핑완료,,122.4,효행구,,효행구
6,공립,샘내 작은도서관,"경기도 화성시 효행구 매송고색로375번길 11, 마을회관 2층",,구기준매핑완료,,211.76,효행구,,효행구
7,공립,서신 작은도서관,경기도 화성시 만세구 서신면 궁평항로 1702 만세구 서신면행정복지센터 2층,,구기준매핑완료,,93,만세구,서신면,만세구
8,공립,양감면 작은도서관,경기도 화성시 만세구 양감면 초록로 7,,구기준매핑완료,,75,만세구,양감면,만세구
9,공립,커피앤북 작은도서관,"경기도 화성시 효행구 봉담읍 상리3길 38, 커피복합문화센터 1층",,구기준매핑완료,,92,효행구,봉담읍,효행구
10,공립,팔탄 작은도서관,"경기도 화성시 만세구 팔탄면 구장길 14, 만세구 팔탄면행정복지센터 2층",,구기준매핑완료,,88,만세구,팔탄면,만세구
11,공립,호연이음터 작은도서관,"경기도 화성시 동탄구 동탄대로3길 17-9, 호연이음터 3층",,구기준매핑완료,,140,동탄구,,동탄구
12,사립,e편한세상동탄 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 31, e편한세상동탄 아파트",,구기준매핑완료,,65.065,동탄구,,동탄구
13,사립,LH 행복꿈터 작은도서관,"경기도 화성시 동탄구 동탄지성로 150-12, 동탄동탄구 능동마을주공아파트",,구기준매핑완료,,48,동탄구,능동,동탄구
14,사립,LH봉이네 작은도서관,"경기도 화성시 효행구 봉담읍 상리3길 111, 봉담LH4단지 아파트",,구기준매핑완료,,102,효행구,봉담읍,효행구
15,사립,LH숲속 작은도서관,"경기도 화성시 동탄구 동탄영천로 108-21, 화성동탄2 A4-1 행복주택",,구기준매핑완료,,165,동탄구,,동탄구
16,사립,sk뷰파크3차아파트 작은도서관,"경기도 화성시 동탄구 동탄지성로 319-19, sk뷰파크3차 아파트",,구기준매핑완료,,177,동탄구,,동탄구
17,사립,경남글밥 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 69, 경남아너스빌22단지 아파트",,구기준매핑완료,,106,동탄구,,동탄구
