연번,구분,도서관명,소재지,매핑_행정구역,매핑상태,비고,면적(제곱미터)
3,공립,늘봄이음터 작은도서관,"경기도 화성시 동탄구 동탄대로24길 49, 늘봄이음터 3층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,138
6,공립,샘내 작은도서관,"경기도 화성시 효행구 매송고색로375번길 11, 마을회관 2층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,211.76
11,공립,호연이음터 작은도서관,"경기도 화성시 동탄구 동탄대로3길 17-9, 호연이음터 3층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,140
12,사립,e편한세상동탄 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 31, e편한세상동탄 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,65.065
13,사립,LH 행복꿈터 작은도서관,"경기도 화성시 동탄구 동탄지성로 150-12, 동탄동탄구 능동마을주공아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,48
15,사립,LH숲속 작은도서관,"경기도 화성시 동탄구 동탄영천로 108-21, 화성동탄2 A4-1 행복주택",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,165
16,사립,sk뷰파크3차아파트 작은도서관,"경기도 화성시 동탄구 동탄지성로 319-19, sk뷰파크3차 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,177
17,사립,경남글밥 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 69, 경남아너스빌22단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,106
20,사립,그린힐 작은도서관,"경기도 화성시 동탄구 동탄순환대로12길 85, 반도유보라 아이비파크 10차 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,94.5
22,사립,글빛누리 작은도서관,경기도 화성시 효행구 기배로29,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,138
24,사립,글향기 작은도서관,"경기도 화성시 동탄구 메타폴리스로 22, 동탄시범다은마을 메타역 롯데캐슬 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,90
25,사립,금호2차 반딧불이 작은도서관,"경기도 화성시 동탄구 동탄대로1길 32, 금호어울림레이크2차 아파트 관리동 내",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,95.13
26,사립,꽃담 작은도서관,"경기도 화성시 효행구 효행로265번길 17(효행구 기안동, 우림그린빌리지)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,130
28,사립,꿈길 작은도서관,"경기도 화성시 동탄구 동탄지성로 256, SK뷰파크2차아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,171
29,사립,꿈꾸는 작은도서관,경기도 화성시 병점구 병점2로 78(병점역 에듀포레),,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,83
30,사립,꿈나래문고 작은도서관,"경기도 화성시 병점구 병점동로 23(병점구 병점동, 구봉마을우남퍼스트빌1차아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,100
31,사립,꿈나무 작은도서관,경기도 화성시 만세구 발안남로 66(화성발안우림필유아파트),,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,115
32,사립,꿈드림 작은도서관,"경기도 화성시 동탄구 동부대로 951, 동탄역 중흥S클래스 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,110
33,사립,꿈마루 작은도서관,"경기도 화성시 동탄구 동탄반석로 16, 나루마을 월드반도1차(아)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,37
35,사립,나루마을 한화꿈에그린 아파트 작은도서관,"경기도 화성시 동탄구 동탄중앙로 51-1(동탄구 반송동, 동탄나루마을 한화꿈에그린아파트) 628동 B1",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,81
36,사립,나뭇잎 작은도서관,"경기도 화성시 동탄구 동탄순환대로 881-10 (동탄구 영천동,동탄역푸르지오)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,52.44
37,사립,나의 작은도서관,"경기도 화성시 동탄구 동탄기흥로277번길 12, 2604동 1층(동탄구 오산동, 동탄2 LH C26단지)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,95.02
40,사립,놀러와 작은도서관,"경기도 화성시 동탄구 동탄숲속로 95(동탄구 능동, 숲속마을광명메이루즈아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,82.5
41,사립,느티나무 작은도서관,"경기도 화성시 동탄구 동탄대로24길 199, 동탄역 포레너스 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,141
42,사립,다가치 꿈꾸는 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 45, 동탄 금강펜테리움 센트럴파크 4차",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,188.9
43,사립,다솜 작은도서관,"경기도 화성시 동탄구 동탄순환대로19길 21, 동탄동원로얄듀크2차 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,114.56
44,사립,다온행복 작은도서관,경기도 화성시 동탄구 동탄신리천로5가길 35,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,129.58
45,사립,다은우남 작은도서관,경기도 화성시 동탄구 동탄중앙로 171(동탄시범다은마을 우남퍼스트빌 아파트),,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,176
46,사립,달떡 작은도서관,"경기도 화성시 동탄구 동탄신리천로2길 65, 1층(동탄2 디루체아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,154.2
49,사립,더샵 꿈마루 작은도서관,경기도 화성시 동탄구 동탄대로10길 20. 동탄 더샵 레이크 에듀타운 아파트,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,94.95
50,사립,더샵 센트럴시티2차 작은도서관,"경기도 화성시 동탄구 동탄감배산로 19, 1620동 더샵센트럴시티 2차 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,108.49
51,사립,도담도담 작은도서관,"경기도 화성시 효행구 매송로360번길 13, 매송휴먼시아 커뮤니티실",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,74.52
52,사립,동2롯데캐슬 작은도서관,"경기도 화성시 동탄구 동탄대로2길 49, 동탄2롯데캐슬뉴스테이",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,159.99
53,사립,동원 여울빛 작은도서관,"경기도 화성시 동탄구 동부대로 1062, 동원 로얄듀크 비스타 3차",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,44.77
