행정구역,인구수,남자인구수,여자인구수,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80-89세,90-99세,100-109세,110세 이상
우정읍,16658,9253,7405,438,1201,1511,1344,2140,3480,3478,1932,944,189,1,0
향남읍,84902,45859,39043,6095,10866,9878,12295,16743,14078,8757,4082,1790,313,5,0
남양읍,60412,32672,27740,4759,5092,6887,10530,9683,9595,8334,3693,1519,312,7,1
마도면,6445,3882,2563,124,275,473,624,785,1241,1614,815,422,72,0,0
송산면,10202,5610,4592,258,596,721,789,1070,1885,2432,1457,810,179,5,0
서신면,6996,3912,3084,108,266,365,522,633,1201,2057,1151,551,140,2,0
팔탄면,9150,5547,3603,166,330,671,792,970,1899,2492,1138,566,124,2,0
장안면,9255,5369,3886,210,481,691,702,982,1798,2267,1340,638,143,3,0
양감면,3698,2312,1386,62,114,252,313,380,685,1045,516,266,64,1,0
새솔동,27015,13571,13444,3651,3974,2039,4032,6223,3876,2427,588,167,38,0,0
봉담읍,111015,56230,54785,10453,12401,11842,18601,19714,17200,12229,5796,2299,459,20,1
매송면,6182,3313,2869,120,283,549,589,573,1190,1502,868,448,58,2,0
비봉면,16458,9024,7434,1464,780,1391,3980,2271,2133,2526,1232,555,125,1,0
정남면,10201,5959,4242,219,494,890,962,1130,2087,2399,1274,596,148,2,0
기배동,15595,7789,7806,1000,1707,1918,1841,2424,3052,2118,1058,405,70,2,0
진안동,50027,27050,22977,4627,4393,6344,9804,9382,7427,4779,2233,882,154,1,1
병점1동,36045,18474,17571,2591,3626,5659,6143,5830,5689,3685,1957,763,99,3,0
병점2동,22019,10622,11397,1081,3279,3029,2253,3790,4341,2263,1293,603,85,2,0
반월동,37313,18859,18454,4108,4864,3565,6771,7400,5213,3610,1286,409,84,3,0
화산동,28705,15097,13608,1980,2316,3375,4431,4439,5008,4138,2043,848,125,2,0
동탄1동,49891,25650,24241,4172,6413,7255,9225,9089,8089,3665,1355,532,95,1,0
동탄2동,33856,16559,17297,2298,6319,3882,3106,7097,6313,2875,1326,563,76,1,0
동탄3동,39765,20517,19248,3253,5287,5673,7389,7460,5838,2686,1440,643,95,1,0
동탄4동,52595,26296,26299,5866,10151,4502,6917,12757,8013,3054,973,303,57,2,0
동탄5동,48041,24194,23847,4885,5570,5081,10742,9589,6008,3632,1809,618,105,2,0
동탄6동,46434,23647,22787,4522,5956,6694,9160,9060,6591,2964,1039,386,62,0,0
동탄7동,57215,28787,28428,6256,8232,5273,10559,12724,7519,4432,1696,441,80,3,0
동탄8동,39931,19992,19939,6301,5205,2699,8093,9587,4124,2580,998,273,70,1,0
동탄9동,59232,29741,29491,7812,7544,5624,12554,12499,7183,4126,1446,369,73,2,0
